Channel Id,Channel Url,Channel Title
UC36UUkZ7K5YZi562PDGczSw,http://www.youtube.com/channel/UC36UUkZ7K5YZi562PDGczSw,Emmy Blotnick
UC3CBOpT2-NRvoc2ecFMDCsA,http://www.youtube.com/channel/UC3CBOpT2-NRvoc2ecFMDCsA,Crime Pays But Botany Doesn't
UC3FD64RRsrCLpiZNkq7ZkSg,http://www.youtube.com/channel/UC3FD64RRsrCLpiZNkq7ZkSg,Zoe Baker
UC3KEoMzNz8eYnwBC34RaKCQ,http://www.youtube.com/channel/UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz
UC3LqW4ijMoENQ2Wv17ZrFJA,http://www.youtube.com/channel/UC3LqW4ijMoENQ2Wv17ZrFJA,PBS Idea Channel
UC3RKA4vunFAfrfxiJhPEplw,http://www.youtube.com/channel/UC3RKA4vunFAfrfxiJhPEplw,CodeOpinion
UC3S8vxwRfqLBdIhgRlDRVzw,http://www.youtube.com/channel/UC3S8vxwRfqLBdIhgRlDRVzw,stacksmashing
UC3TzIRiP0-YMGx_cv_Hg6Aw,http://www.youtube.com/channel/UC3TzIRiP0-YMGx_cv_Hg6Aw,Emily K Sowers
UC3VHfy8e1jbDnT5TG2pjP1w,http://www.youtube.com/channel/UC3VHfy8e1jbDnT5TG2pjP1w,meow
UC3XrWeEDHIHomiDZ1gSV38g,http://www.youtube.com/channel/UC3XrWeEDHIHomiDZ1gSV38g,Navek
UC3azLjQuz9s5qk76KEXaTvA,http://www.youtube.com/channel/UC3azLjQuz9s5qk76KEXaTvA,suckerpinch
UC3k0fC-iZAzfC4K-aCT7QoA,http://www.youtube.com/channel/UC3k0fC-iZAzfC4K-aCT7QoA,yourharto
UC3mixv9nJPCzHYXXorIbx5w,http://www.youtube.com/channel/UC3mixv9nJPCzHYXXorIbx5w,FlibidyDibidy
UC3tMH8u6yG3mSxi-qpfmpkA,http://www.youtube.com/channel/UC3tMH8u6yG3mSxi-qpfmpkA,TomSka & Friends
UC477Kvszl9JivqOxN1dFgPQ,http://www.youtube.com/channel/UC477Kvszl9JivqOxN1dFgPQ,Iron Pineapple
UC48s3aVt6bWFqF3VwiCewug,http://www.youtube.com/channel/UC48s3aVt6bWFqF3VwiCewug,Ramayana : The Legend Of Prince Rama
UC4CVLBUj7Zy9PwUHv58x4sg,http://www.youtube.com/channel/UC4CVLBUj7Zy9PwUHv58x4sg,Even Idiots Can Make Anime
UC4CsqctrGOn4NTz09sAhXwQ,http://www.youtube.com/channel/UC4CsqctrGOn4NTz09sAhXwQ,Macho Nacho Productions
UC4DavIB24rEr5waVY5AgZLg,http://www.youtube.com/channel/UC4DavIB24rEr5waVY5AgZLg,Walt Disney Imagineering
UC4G10tk3AHFuyMIuD3rHOBA,http://www.youtube.com/channel/UC4G10tk3AHFuyMIuD3rHOBA,RDCworld1
UC4JL8XJ9dxqfvzTM8L5Sl3w,http://www.youtube.com/channel/UC4JL8XJ9dxqfvzTM8L5Sl3w,Zullie the Witch
UC4m2G6T18_JcjwxwtwKJijw,http://www.youtube.com/channel/UC4m2G6T18_JcjwxwtwKJijw,samy kamkar
UC4zccyPWo0D1zjioR4CthiA,http://www.youtube.com/channel/UC4zccyPWo0D1zjioR4CthiA,Brandon Leon-Gambetta
UC4zzTEL5tuIgGMvzjk1Ozbg,http://www.youtube.com/channel/UC4zzTEL5tuIgGMvzjk1Ozbg,Henry Segerman
UC5C-7TI6goM9uQ7Gf3JwnRQ,http://www.youtube.com/channel/UC5C-7TI6goM9uQ7Gf3JwnRQ,Malleo
UC5CYeHPLer3lbEhgonvbbAA,http://www.youtube.com/channel/UC5CYeHPLer3lbEhgonvbbAA,Noah Caldwell-Gervais
UC5E_q3-du7mrDZIyETFZ_Xw,http://www.youtube.com/channel/UC5E_q3-du7mrDZIyETFZ_Xw,acollieralso
UC5I2hjZYiW9gZPVkvzM8_Cw,http://www.youtube.com/channel/UC5I2hjZYiW9gZPVkvzM8_Cw,Techmoan
UC5SgTj4IGqm0HrD5N4Fe93Q,http://www.youtube.com/channel/UC5SgTj4IGqm0HrD5N4Fe93Q,FUNimationLive
UC5bN6XKHDCFt_wYAJmsP_Mg,http://www.youtube.com/channel/UC5bN6XKHDCFt_wYAJmsP_Mg,Jasper
UC5fdssPqmmGhkhsJi4VcckA,http://www.youtube.com/channel/UC5fdssPqmmGhkhsJi4VcckA,Innuendo Studios
UC5k3Kc0avyDJ2nG9Kxm9JmQ,http://www.youtube.com/channel/UC5k3Kc0avyDJ2nG9Kxm9JmQ,Bright Sun Films
UC5miyvhPsWWyfTulnJ43koQ,http://www.youtube.com/channel/UC5miyvhPsWWyfTulnJ43koQ,UncommentatedPannen
UC5uCW-Dmmd9a7GJ6G2nuU8w,http://www.youtube.com/channel/UC5uCW-Dmmd9a7GJ6G2nuU8w,retromeister
